country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB","26-03-2026 08:00:00",28.725645,77.749675,PM10,56,166,116
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB","26-03-2026 08:00:00",28.725645,77.749675,CO,28,84,69
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB","26-03-2026 08:00:00",25.4547,78.6039,PM2.5,13,51,30
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB","26-03-2026 08:00:00",25.4547,78.6039,CO,6,44,21
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB","26-03-2026 08:00:00",26.428282,80.327067,PM10,49,159,94
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","26-03-2026 08:00:00",26.509954,80.249612,NO2,28,28,28
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","26-03-2026 08:00:00",26.509954,80.249612,OZONE,15,18,17
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB","26-03-2026 08:00:00",27.23711,78.01936,PM10,41,408,137
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB","26-03-2026 08:00:00",27.106972,78.000111,SO2,7,21,14
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB","26-03-2026 08:00:00",27.106972,78.000111,OZONE,11,16,14
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB","26-03-2026 08:00:00",27.19865833,78.00598056,PM2.5,18,338,137
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB","26-03-2026 08:00:00",27.19865833,78.00598056,PM10,63,155,99
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","26-03-2026 08:00:00",27.19412,77.96237,NH3,7,8,7
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","26-03-2026 08:00:00",28.6603346,77.3572563,CO,18,102,52
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","26-03-2026 08:00:00",26.730136,83.433859,CO,3,4,3
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - V, Greater Noida - UPPCB","26-03-2026 08:00:00",28.557054,77.453663,PM2.5,32,332,162
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - V, Greater Noida - UPPCB","26-03-2026 08:00:00",28.557054,77.453663,PM10,156,500,279
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB","26-03-2026 08:00:00",17.4559458,78.4332152,CO,40,60,48
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB","26-03-2026 08:00:00",17.349694,78.451437,PM2.5,NA,NA,NA
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB","26-03-2026 08:00:00",17.349694,78.451437,CO,NA,NA,NA
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB","26-03-2026 08:00:00",23.8175497,91.2726974,SO2,2,2,2
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB","26-03-2026 08:00:00",27.169338,78.03582,NH3,3,3,3
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","26-03-2026 08:00:00",28.88528,78.73880,SO2,29,34,30
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","26-03-2026 08:00:00",28.88528,78.73880,OZONE,16,34,16
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","26-03-2026 08:00:00",28.856664,78.772638,PM10,41,117,80
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","26-03-2026 08:00:00",28.856664,78.772638,NO2,24,25,25
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB","26-03-2026 08:00:00",28.802625,78.753728,PM10,17,84,57
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB","26-03-2026 08:00:00",28.802625,78.753728,CO,100,113,101
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB","26-03-2026 08:00:00",29.4723508,77.7194031,SO2,18,44,29
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB","26-03-2026 08:00:00",29.4723508,77.7194031,CO,24,71,38
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB","26-03-2026 08:00:00",28.5447608,77.3231257,PM2.5,23,366,173
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB","26-03-2026 08:00:00",26.83399722,80.8917361,NH3,8,9,8
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB","26-03-2026 08:00:00",28.999264,77.7590354,PM2.5,30,128,77
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB","26-03-2026 08:00:00",28.999264,77.7590354,NH3,3,3,3
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","26-03-2026 08:00:00",29.063510,77.709723,NO2,27,93,54
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","26-03-2026 08:00:00",29.063510,77.709723,CO,5,49,32
